Adventures of Bertram Fiddle Episode 2 A Bleaker Predicklement [010021F00C1C0000][v0].nsp,1.62 GB,2019-01-11 11:01,NSW NSP Games
Aegis Defenders [01008E6006502000][v0].nsp,1.34 GB,2019-01-11 11:01,NSW NSP Games
AeternoBlade [01006C40086EA000][v0].nsp,3.38 GB,2019-01-11 11:01,NSW NSP Games
Agatha Knife [010093600A60C000][v0].nsp,209.87 MB,2019-01-11 11:01,NSW NSP Games
Agent A A puzzle in disguise [010005400A45E000][v0].nsp,463.54 MB,2019-08-30 21:08,NSW NSP Games
Ages of Mages The last keeper [0100E4700E040000][v0].nsp,2.22 GB,2019-06-01 10:06,NSW NSP Games
Air Conflicts; Pacific Carriers eSHOP [0100C7600C7D6000][v0].nsp,1.40 GB,2019-03-30 14:03,NSW NSP Games
Air Conflicts; Secret Wars eSHOP [0100B2B00C7D4000][v0].nsp,1.53 GB,2019-03-30 14:03,NSW NSP Games
Air Hockey [010005A00A4F4000][v0].nsp,131.08 MB,2019-01-11 11:01,NSW NSP Games
Air Mail [01004C700B106000][v0].nsp,1.45 GB,2019-01-11 11:01,NSW NSP Games
Airfield Mania eSHOP [01009DF00DB42000][v0].nsp,170.55 MB,2019-03-30 14:03,NSW NSP Games
Airheart - Tales of broken Wings [01003DD00BFEE000][v0].nsp,809.09 MB,2019-02-05 13:02,NSW NSP Games
Akash Path of the Five [01009A800F0C8000][v0].nsp,2 GB,2019-09-18 19:09,NSW NSP Games
Akihabara - Feel the Rhythm Remixed [010053100B0EA000][v0].nsp,260.85 MB,2019-01-11 11:01,NSW NSP Games
Akihabara - Feel the Rhythm Remixed.nsp.zip,260.88 MB,2019-01-11 12:01,NSW NSP Games
Akihabara CRASH! 123STAGE 1 [010033100AC2C000][v0].nsp,817.02 MB,2019-04-03 17:04,NSW NSP Games
Akihabara CRASH! 123STAGE 1 [010033100AC2C000][v0].nsp,817.02 MB,2019-02-05 13:02,NSW NSP Games
Alchemic Dungeons DX [01000E800CC26000][v0].nsp,387.10 MB,2019-02-18 13:02,NSW NSP Games
